epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.074,0.80689,2.21078,1.34251,0.89922,0.65,0.70187,0.50019,1.39131,1.43785,2.54823,0.00054956,0.00054956,0.00054956
2,317.283,0.67896,0.7481,1.21601,0.49134,0.65,0.61249,0.33126,1.90107,2.73899,3.57136,0.00106146,0.00106146,0.00106146
3,468.242,0.72473,0.71997,1.24068,0.65182,0.9,0.80508,0.52346,0.95345,2.81873,1.73824,0.00152935,0.00152935,0.00152935
4,609.824,0.63171,0.62578,1.1747,0.78887,0.74744,0.70642,0.57996,0.81028,1.17083,1.88106,0.00146896,0.00146896,0.00146896
5,764.534,0.58322,0.57771,1.13941,0.59113,0.75,0.77193,0.61416,0.75131,1.09688,1.63148,0.00140295,0.00140295,0.00140295
6,924.081,0.56597,0.55617,1.10909,0.54664,1,0.80673,0.68975,0.60563,1.48707,1.33687,0.00133693,0.00133693,0.00133693
7,1036.4,0.54279,0.53296,1.09301,0.86308,0.94573,0.94465,0.78102,0.57995,0.86006,1.52112,0.00127092,0.00127092,0.00127092
8,1269.52,0.49856,0.49954,1.05905,0.68791,0.99215,0.88658,0.76208,0.5267,0.84524,1.27829,0.00120491,0.00120491,0.00120491
9,1419.11,0.47004,0.46257,1.04513,0.80649,0.9,0.90103,0.83275,0.42559,0.84148,1.11462,0.00113889,0.00113889,0.00113889
10,1569.64,0.45299,0.42911,1.03597,0.94573,0.9,0.9695,0.86975,0.48494,0.49721,1.34738,0.00107288,0.00107288,0.00107288
11,1706.54,0.44769,0.4157,1.03731,0.9443,0.95,0.93493,0.89037,0.32573,0.55537,0.97326,0.00100687,0.00100687,0.00100687
12,1849.27,0.41029,0.39009,1.00624,0.94054,0.79129,0.87435,0.7743,0.56972,0.66634,1.45225,0.000940855,0.000940855,0.000940855
13,2003.76,0.39277,0.37404,0.99695,0.89775,0.95,0.92229,0.8877,0.36559,0.53272,1.06025,0.000874842,0.000874842,0.000874842
14,2165.25,0.38041,0.35713,0.98194,0.89959,0.89607,0.91617,0.84372,0.47458,0.53275,1.22465,0.000808828,0.000808828,0.000808828
15,2283.13,0.36427,0.33582,0.97713,0.93584,0.85,0.92097,0.88434,0.35522,0.50974,1.03638,0.000742815,0.000742815,0.000742815
16,2462.03,0.30663,0.32472,0.99689,0.94671,0.95,0.97028,0.93765,0.34193,0.45182,1.03104,0.000676802,0.000676802,0.000676802
17,2578.51,0.28984,0.29232,0.98409,0.96937,0.95,0.98071,0.96043,0.29975,0.36081,0.97745,0.000610789,0.000610789,0.000610789
18,2734.17,0.26131,0.25423,0.94788,0.95225,0.9972,0.99262,0.94297,0.29212,0.32125,0.97239,0.000544776,0.000544776,0.000544776
19,2839.65,0.23994,0.24082,0.9196,0.99695,0.95,0.96281,0.95417,0.25287,0.38198,0.88789,0.000478762,0.000478762,0.000478762
20,2944.31,0.23462,0.21861,0.9148,0.99853,0.95,0.96281,0.94274,0.26277,0.36103,0.93605,0.000412749,0.000412749,0.000412749
21,3115.37,0.22702,0.21596,0.9062,0.99846,0.95,0.98204,0.96482,0.26392,0.33352,0.91842,0.000346736,0.000346736,0.000346736
22,3221.59,0.20003,0.19142,0.88691,0.99681,0.95,0.98071,0.97035,0.2339,0.31429,0.87908,0.000280723,0.000280723,0.000280723
23,3342.44,0.18878,0.18738,0.87519,0.99727,0.95,0.96875,0.96034,0.22058,0.34491,0.86189,0.00021471,0.00021471,0.00021471
24,3455.52,0.17716,0.17424,0.86674,0.99411,0.95,0.96083,0.95264,0.2136,0.33481,0.86323,0.000148696,0.000148696,0.000148696
25,3579.76,0.16606,0.16037,0.86761,0.99775,0.95,0.96536,0.95783,0.20022,0.3087,0.8595,8.26832e-05,8.26832e-05,8.26832e-05
