epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7094,4.05706,26.6153,2.15541,0.00043,0.03356,0.00022,7e-05,3.2265,11.2714,1.70436,0.0005,0.0005,0.0005
2,133.219,2.9801,3.30653,1.54094,0.00017,0.01342,0.00012,3e-05,nan,nan,nan,0.000979608,0.000979608,0.000979608
3,187.039,2.80464,2.09406,1.44471,0.00224,0.02013,0.00153,0.00051,nan,nan,nan,0.00141803,0.00141803,0.00141803
4,242.665,2.73299,1.94786,1.40952,0.00224,0.02013,0.00153,0.00051,nan,nan,nan,0.0017624,0.0017624,0.0017624
5,286.496,2.65062,1.77984,1.42374,0.00028,0.02013,0.00013,5e-05,nan,nan,nan,0.0016832,0.0016832,0.0016832
6,331.807,2.56858,1.64773,1.35525,0.01531,0.01342,0.0015,0.00045,3.75386,7.89514,4.75248,0.001604,0.001604,0.001604
7,400.378,2.48116,1.5672,1.34773,0.32891,0.32886,0.23732,0.05663,3.06802,2.18006,1.55031,0.0015248,0.0015248,0.0015248
8,508.105,2.40471,1.52753,1.31938,0.41377,0.28188,0.23999,0.05679,3.00178,2.11125,1.58423,0.0014456,0.0014456,0.0014456
9,572.866,2.40443,1.48411,1.31282,0.48631,0.59724,0.40637,0.10631,2.59601,1.92628,1.43179,0.0013664,0.0013664,0.0013664
10,664.399,2.46542,1.49761,1.31017,0.49624,0.59732,0.50576,0.13669,2.6533,1.59523,1.44397,0.0012872,0.0012872,0.0012872
11,741.245,2.40318,1.45284,1.30399,0.60803,0.5906,0.53813,0.14621,2.58604,1.5189,1.39386,0.001208,0.001208,0.001208
12,811.615,2.35664,1.35479,1.25889,0.62448,0.61745,0.58185,0.14689,2.58576,1.47633,1.39353,0.0011288,0.0011288,0.0011288
13,875.756,2.32229,1.34923,1.26013,0.61367,0.55034,0.51769,0.15878,2.65855,1.4183,1.4358,0.0010496,0.0010496,0.0010496
14,953.227,2.30007,1.32919,1.25613,0.66308,0.65101,0.57657,0.17597,2.53999,1.47109,1.38901,0.0009704,0.0009704,0.0009704
15,1048.88,2.30221,1.28369,1.26003,0.74984,0.68398,0.64641,0.19076,2.57826,1.46126,1.38858,0.0008912,0.0008912,0.0008912
16,1169.28,2.26781,1.2393,1.2527,0.77719,0.73154,0.69151,0.21215,2.51163,1.34382,1.3529,0.000812,0.000812,0.000812
17,1245.3,2.23499,1.23549,1.25299,0.67844,0.65101,0.61253,0.17869,2.45463,1.33582,1.336,0.0007328,0.0007328,0.0007328
18,1303.75,2.15468,1.20091,1.24933,0.72863,0.7047,0.67799,0.19244,2.46211,1.36077,1.35159,0.0006536,0.0006536,0.0006536
19,1360.13,2.11862,1.16921,1.22887,0.78777,0.73154,0.69812,0.21253,2.4479,1.30871,1.33896,0.0005744,0.0005744,0.0005744
20,1424.26,2.09398,1.10617,1.22864,0.78414,0.68267,0.67527,0.2035,2.53211,1.34641,1.36371,0.0004952,0.0004952,0.0004952
21,1485.95,2.13789,1.11598,1.22818,0.76384,0.69128,0.69588,0.21359,2.53793,1.37135,1.36923,0.000416,0.000416,0.000416
22,1547.7,2.079,1.09476,1.20071,0.77531,0.72483,0.69329,0.21305,2.48573,1.30276,1.3432,0.0003368,0.0003368,0.0003368
23,1606.19,2.07316,1.05856,1.20861,0.76831,0.7047,0.67274,0.20859,2.50443,1.27019,1.35481,0.0002576,0.0002576,0.0002576
24,1659.39,2.03691,1.03446,1.19016,0.79449,0.71812,0.71815,0.22644,2.44119,1.2506,1.3292,0.0001784,0.0001784,0.0001784
25,1716.89,2.02088,1.03748,1.19391,0.80823,0.71812,0.69098,0.22058,2.45247,1.23388,1.33504,9.92e-05,9.92e-05,9.92e-05
