epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7143,1.51224,4.37458,1.1879,0.24808,0.34297,0.25596,0.17889,1.10886,3.64901,1.06093,7.056e-05,7.056e-05,7.056e-05
2,95.6566,1.07643,1.73696,0.9817,0.56006,0.66853,0.6357,0.46182,1.00574,1.94301,0.97866,0.000141179,0.000141179,0.000141179
3,132.512,1.09744,1.37337,1.00376,0.73831,0.88733,0.91419,0.66125,0.99917,1.34171,0.96054,0.000205744,0.000205744,0.000205744
4,165.498,1.01304,1.05123,0.97199,0.85289,0.8957,0.96661,0.71293,0.99935,1.00213,1.02042,0.000264254,0.000264254,0.000264254
5,199.604,0.94982,0.8979,0.94428,0.9471,0.94787,0.97474,0.7346,0.94265,0.67235,0.96379,0.000316711,0.000316711,0.000316711
6,227.035,0.91403,0.81883,0.93577,0.96429,0.93802,0.98246,0.73162,0.94532,0.62726,0.95967,0.000363114,0.000363114,0.000363114
7,260.951,0.93922,0.70632,0.93379,0.96999,0.98639,0.98605,0.72627,0.99141,0.51187,0.98489,0.000403462,0.000403462,0.000403462
8,293.034,0.91446,0.67472,0.93754,0.95793,0.97961,0.98699,0.76022,0.89249,0.50386,0.94072,0.000425006,0.000425006,0.000425006
9,330.921,0.86698,0.61508,0.92545,0.96073,0.97045,0.98155,0.7704,0.86424,0.52531,0.9273,0.000401722,0.000401722,0.000401722
10,360.692,0.8806,0.60511,0.93134,0.98226,0.98675,0.98539,0.75373,0.88849,0.4362,0.95074,0.000378437,0.000378437,0.000378437
11,396.517,0.84619,0.5603,0.91134,0.98137,0.99131,0.98719,0.7667,0.85805,0.42252,0.93754,0.000355152,0.000355152,0.000355152
12,433.323,0.83814,0.54481,0.91984,0.98315,0.98778,0.98729,0.78473,0.81414,0.414,0.90802,0.000331867,0.000331867,0.000331867
13,466.627,0.81161,0.52646,0.89931,0.98106,0.99123,0.98569,0.74757,0.89303,0.42837,0.9632,0.000308582,0.000308582,0.000308582
14,499.05,0.80514,0.51774,0.90262,0.9695,0.98799,0.98717,0.7784,0.82134,0.38607,0.93068,0.000285298,0.000285298,0.000285298
15,531.502,0.79353,0.51494,0.90802,0.98159,0.98962,0.98706,0.79568,0.77483,0.37453,0.90804,0.000262013,0.000262013,0.000262013
16,590.481,0.74916,0.48178,0.9042,0.97504,0.98611,0.9871,0.78034,0.79981,0.3876,0.91977,0.000238728,0.000238728,0.000238728
17,614.997,0.74943,0.48147,0.89074,0.9774,0.98808,0.9875,0.80317,0.75725,0.3695,0.90009,0.000215443,0.000215443,0.000215443
18,649.052,0.74452,0.46135,0.90172,0.98219,0.98737,0.98778,0.77581,0.82474,0.37795,0.92991,0.000192158,0.000192158,0.000192158
19,681.851,0.74851,0.44594,0.90612,0.98331,0.98816,0.98738,0.78896,0.80001,0.36606,0.92052,0.000168874,0.000168874,0.000168874
20,706.561,0.72246,0.42682,0.89259,0.98551,0.99301,0.98793,0.79955,0.76898,0.3472,0.90928,0.000145589,0.000145589,0.000145589
21,730.227,0.72758,0.42087,0.89196,0.98511,0.99143,0.98712,0.80275,0.76148,0.3422,0.90841,0.000122304,0.000122304,0.000122304
22,763.222,0.69355,0.40352,0.89129,0.98546,0.99136,0.98629,0.80739,0.74834,0.33158,0.90318,9.90192e-05,9.90192e-05,9.90192e-05
23,786.874,0.6958,0.40549,0.87483,0.98603,0.99178,0.9874,0.81126,0.74411,0.32787,0.90025,7.57344e-05,7.57344e-05,7.57344e-05
24,818.935,0.69082,0.39055,0.88485,0.98625,0.99199,0.9878,0.81461,0.73715,0.3246,0.89801,5.24496e-05,5.24496e-05,5.24496e-05
25,841.818,0.69761,0.40569,0.89435,0.98451,0.9918,0.98763,0.81415,0.73965,0.32439,0.89952,2.91648e-05,2.91648e-05,2.91648e-05
