epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.9932,0.64798,2.80825,1.03163,0.431,0.80271,0.64793,0.56039,0.52742,inf,0.89656,0.000125,0.000125,0.000125
2,181.988,0.39512,0.73464,0.87694,0.91975,0.96809,0.96023,0.8929,0.40592,0.59641,0.82818,0.000246103,0.000246103,0.000246103
3,264.934,0.35706,0.47257,0.83787,0.92032,0.93506,0.95729,0.91887,0.29861,0.51379,0.80042,0.00035681,0.00035681,0.00035681
4,355.859,0.34772,0.41839,0.83577,0.99891,1,0.995,0.95701,0.29698,0.29866,0.79685,0.000457123,0.000457123,0.000457123
5,433.581,0.32386,0.36052,0.82228,0.98366,0.99406,0.995,0.96151,0.27985,0.28566,0.78956,0.000526,0.000526,0.000526
6,519.669,0.3075,0.3302,0.81935,0.99977,1,0.995,0.96562,0.28602,0.25452,0.78275,0.00050125,0.00050125,0.00050125
7,590.069,0.30132,0.31752,0.81516,0.99966,1,0.995,0.96682,0.27583,0.21334,0.78437,0.0004765,0.0004765,0.0004765
8,665.319,0.2859,0.29685,0.81232,0.99951,1,0.995,0.97245,0.25938,0.2113,0.78332,0.00045175,0.00045175,0.00045175
9,740.888,0.28452,0.283,0.81117,0.9994,1,0.995,0.96652,0.25644,0.20016,0.78192,0.000427,0.000427,0.000427
10,825.629,0.2809,0.27113,0.81321,0.99944,1,0.995,0.97531,0.23643,0.18414,0.77795,0.00040225,0.00040225,0.00040225
11,899.592,0.267,0.26167,0.80458,0.99935,1,0.995,0.97552,0.2367,0.17418,0.77676,0.0003775,0.0003775,0.0003775
12,963.421,0.27274,0.24676,0.80709,0.9998,1,0.995,0.9787,0.23986,0.17477,0.77645,0.00035275,0.00035275,0.00035275
13,1043.78,0.26913,0.23758,0.80265,0.9997,1,0.995,0.97943,0.24261,0.16849,0.77692,0.000328,0.000328,0.000328
14,1120.53,0.26032,0.22966,0.80227,0.99965,1,0.995,0.98034,0.22402,0.16569,0.77489,0.00030325,0.00030325,0.00030325
15,1195.11,0.25814,0.22423,0.79996,0.99981,1,0.995,0.97995,0.22472,0.16386,0.77447,0.0002785,0.0002785,0.0002785
16,1283.09,0.25098,0.22257,0.79752,0.99955,1,0.995,0.98294,0.22225,0.16474,0.7716,0.00025375,0.00025375,0.00025375
17,1343.22,0.24879,0.21431,0.79046,0.9998,1,0.995,0.97738,0.23428,0.15952,0.77142,0.000229,0.000229,0.000229
18,1408.28,0.24152,0.21113,0.79445,0.99974,1,0.995,0.97968,0.22311,0.15708,0.77185,0.00020425,0.00020425,0.00020425
19,1467.21,0.23749,0.20413,0.79409,0.99968,1,0.995,0.98126,0.21342,0.14914,0.77017,0.0001795,0.0001795,0.0001795
20,1538.69,0.23501,0.1989,0.79603,0.99982,1,0.995,0.98368,0.21444,0.14568,0.76906,0.00015475,0.00015475,0.00015475
21,1612.91,0.23054,0.19231,0.79275,0.99967,1,0.995,0.98445,0.21052,0.14318,0.76819,0.00013,0.00013,0.00013
22,1672.85,0.22366,0.18385,0.79567,0.99978,1,0.995,0.9843,0.20488,0.14191,0.76876,0.00010525,0.00010525,0.00010525
23,1733.43,0.2237,0.18283,0.78796,0.99975,1,0.995,0.98521,0.20319,0.13896,0.76851,8.05e-05,8.05e-05,8.05e-05
24,1793.29,0.22113,0.18243,0.78994,0.99977,1,0.995,0.98676,0.19831,0.13392,0.76746,5.575e-05,5.575e-05,5.575e-05
25,1854.21,0.21534,0.17827,0.79138,0.99977,1,0.995,0.98807,0.19544,0.13165,0.76716,3.1e-05,3.1e-05,3.1e-05
