epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.747,1.51224,4.37458,1.1879,0.24808,0.34297,0.25596,0.17889,1.10886,3.64901,1.06093,7.056e-05,7.056e-05,7.056e-05
2,106.984,1.07676,1.73589,0.98192,0.56878,0.67159,0.63827,0.46364,1.00607,1.94625,0.97835,0.000142149,0.000142149,0.000142149
3,153,1.09926,1.37261,1.00414,0.73148,0.89078,0.91062,0.66217,0.99894,1.35673,0.95794,0.000208693,0.000208693,0.000208693
4,196.301,1.01553,1.05027,0.97266,0.85398,0.89864,0.96755,0.7083,1.00231,1.00605,1.02306,0.000270192,0.000270192,0.000270192
5,230.299,0.95455,0.89675,0.94598,0.93187,0.89678,0.96769,0.73129,0.94297,0.69316,0.96405,0.000326646,0.000326646,0.000326646
6,265.306,0.91961,0.81188,0.93761,0.94138,0.92397,0.97774,0.73369,0.94709,0.64412,0.95839,0.000378055,0.000378055,0.000378055
7,301.307,0.94062,0.70452,0.93423,0.97351,0.97782,0.98538,0.72583,0.98955,0.50656,0.98258,0.000424418,0.000424418,0.000424418
8,331.325,0.91424,0.67003,0.93785,0.95655,0.97007,0.98513,0.7525,0.9115,0.51354,0.94986,0.000452172,0.000452172,0.000452172
9,370.161,0.85827,0.60964,0.92314,0.97429,0.98583,0.9839,0.76844,0.85888,0.48616,0.92511,0.000432768,0.000432768,0.000432768
10,398.926,0.86454,0.59023,0.92815,0.98082,0.96653,0.98696,0.76702,0.87116,0.44489,0.94166,0.000413364,0.000413364,0.000413364
11,432.361,0.84299,0.55518,0.91128,0.98164,0.99175,0.98783,0.75538,0.89344,0.43766,0.95623,0.00039396,0.00039396,0.00039396
12,467.522,0.83308,0.53686,0.91814,0.97267,0.99069,0.98792,0.78014,0.82204,0.40691,0.91846,0.000374556,0.000374556,0.000374556
13,502.063,0.81101,0.52414,0.90039,0.98267,0.99274,0.98794,0.77764,0.83059,0.40141,0.93371,0.000355152,0.000355152,0.000355152
14,536.003,0.80742,0.51604,0.90036,0.98057,0.99065,0.98984,0.77731,0.84622,0.38497,0.94565,0.000335748,0.000335748,0.000335748
15,569.302,0.80193,0.50805,0.9078,0.97841,0.99274,0.98735,0.80266,0.76548,0.38094,0.90172,0.000316344,0.000316344,0.000316344
16,604.012,0.78577,0.48871,0.90968,0.98189,0.98882,0.98679,0.77732,0.82646,0.37508,0.93353,0.00029694,0.00029694,0.00029694
17,634.529,0.78599,0.47643,0.89857,0.98391,0.99146,0.98668,0.77201,0.83554,0.38097,0.93099,0.000277536,0.000277536,0.000277536
18,670.752,0.76241,0.4717,0.89727,0.98462,0.9882,0.98836,0.76852,0.86022,0.37719,0.94375,0.000258132,0.000258132,0.000258132
19,701.324,0.80318,0.45766,0.91018,0.98296,0.98926,0.98657,0.80212,0.76304,0.35634,0.89803,0.000238728,0.000238728,0.000238728
20,731.508,0.7789,0.45935,0.89212,0.98415,0.98719,0.98658,0.7808,0.81046,0.35364,0.92308,0.000219324,0.000219324,0.000219324
21,782.139,0.75102,0.44925,0.89259,0.98238,0.98766,0.98581,0.81076,0.75496,0.34765,0.8974,0.00019992,0.00019992,0.00019992
22,815.31,0.72423,0.41697,0.89725,0.98595,0.98628,0.98612,0.79263,0.78167,0.34179,0.91315,0.000180516,0.000180516,0.000180516
23,848.518,0.71251,0.41507,0.89114,0.97769,0.98972,0.98744,0.80704,0.75722,0.33979,0.90156,0.000161112,0.000161112,0.000161112
24,871.258,0.71884,0.40613,0.89492,0.9839,0.96731,0.98836,0.80765,0.76597,0.34625,0.90983,0.000141708,0.000141708,0.000141708
25,894.956,0.73187,0.41911,0.90168,0.96086,0.99301,0.9894,0.79343,0.80425,0.35029,0.92398,0.000122304,0.000122304,0.000122304
26,917.557,0.69868,0.40114,0.89431,0.96196,0.99301,0.98835,0.82252,0.73096,0.33202,0.89206,0.0001029,0.0001029,0.0001029
27,943.838,0.70377,0.38543,0.89374,0.97365,0.99301,0.9876,0.79072,0.79364,0.33887,0.91921,8.3496e-05,8.3496e-05,8.3496e-05
28,968.574,0.69963,0.38385,0.88043,0.98585,0.9874,0.98845,0.81294,0.74738,0.32544,0.9018,6.4092e-05,6.4092e-05,6.4092e-05
29,993.081,0.6903,0.37674,0.88802,0.98631,0.98619,0.9881,0.81862,0.72606,0.31633,0.89109,4.4688e-05,4.4688e-05,4.4688e-05
30,1027.9,0.6861,0.37446,0.88521,0.98651,0.98677,0.98811,0.82156,0.72632,0.31396,0.89211,2.5284e-05,2.5284e-05,2.5284e-05
