epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.628,1.03929,1.4291,3.96521,1.78362,0.75093,0.75391,0.82134,0.52188,0.75093,0.75391,0.82134,0.64286,0.99655,1.2174,1.57252,1.82399,0.00054956,0.00054956,0.00054956
2,765.73,0.71424,0.69208,0.77938,1.42721,0.73897,0.56692,0.63467,0.48397,0.73897,0.56692,0.63467,0.51029,1.30112,0.73204,1.86513,2.51401,0.00099581,0.00099581,0.00099581
3,1047.36,0.65307,0.69422,0.65246,1.37038,0.58536,0.84715,0.78221,0.52219,0.58536,0.84715,0.78221,0.60501,1.1402,1.13136,1.32129,2.43164,0.00133204,0.00133204,0.00133204
4,1572.98,0.58899,0.56141,0.57916,1.28045,0.65063,0.95,0.90929,0.78085,0.65063,0.95,0.90929,0.8017,0.60733,0.48283,1.19501,1.53396,0.0011719,0.0011719,0.0011719
5,2150.38,0.49293,0.43499,0.49502,1.17083,0.98343,0.9,0.96297,0.86424,0.98343,0.9,0.96297,0.86451,0.53625,0.82767,0.49646,1.334,0.00100687,0.00100687,0.00100687
6,2651.41,0.45741,0.40548,0.45003,1.13606,0.96912,0.85,0.96225,0.88989,0.96912,0.85,0.96225,0.88127,0.49919,0.42838,0.57314,1.23317,0.000841835,0.000841835,0.000841835
7,3160.91,0.39278,0.36613,0.41559,1.07468,0.99759,0.95,0.97833,0.90727,0.99759,0.95,0.97833,0.9233,0.40152,0.34078,0.4052,1.13414,0.000676802,0.000676802,0.000676802
8,3580.8,0.33494,0.29326,0.35165,1.00289,0.97417,0.9,0.9725,0.90452,0.97417,0.9,0.9725,0.93212,0.39632,0.26686,0.51732,1.03177,0.000511769,0.000511769,0.000511769
9,4018.04,0.29829,0.28122,0.31871,0.96472,0.94527,0.9,0.93262,0.8959,0.94527,0.9,0.93262,0.88916,0.39777,0.57393,0.38545,1.13205,0.000346736,0.000346736,0.000346736
10,4511.96,0.25767,0.24416,0.26745,0.92862,0.99614,0.9,0.95657,0.91452,0.99614,0.9,0.95657,0.90185,0.35285,0.885,0.49801,1.02121,0.000181703,0.000181703,0.000181703
